$ kubectl get pods -A -o wide
NAMESPACE               NAME                                    READY   STATUS                   RESTARTS         AGE     IP              NODE                           NOMINATED NODE   READINESS GATES
data-platform-govern    metadata-86cdcf84bc-4j65v               1/1     Running                  0                73m     10.108.11.160   basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     iceberg-rest-b58b9b66b-gc7vz            1/1     Running                  2 (72m ago)      73m     10.108.11.217   basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     kafka-0                                 1/1     Running                  0                56s     10.108.11.146   basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     kafka-bootstrap-9gf24                   0/1     Completed                1                35m     10.108.11.211   basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     minio-0                                 1/1     Running                  0                73m     10.108.11.243   basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     postgres-0                              1/1     Running                  0                73m     10.108.11.181   basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-2lzc6        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-4tgrh        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-6fq2p        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-88sn6        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-8xhbk        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-9mrfb        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-d6c7q        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-dtfj6        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-fwf28        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
data-platform-infra     schema-registry-6b4f7858d9-gbg2s        0/1     Evicted                  0                72m     <none>          basic-compute-nodepool-day90   <none>           <none>
