$ kubectl -n data-platform-infra get events --sort-by=.lastTimestamp
LAST SEEN   TYPE      REASON                   OBJECT                                  MESSAGE
48m         Normal    Scheduled                pod/schema-registry-6b4f7858d9-h5skf    Successfully assigned data-platform-infra/schema-registry-6b4f7858d9-h5skf to basic-compute-nodepool-day90
24m         Warning   FailedScheduling         pod/kafka-0                             0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
55s         Normal    Scheduled                pod/kafka-0                             Successfully assigned data-platform-infra/kafka-0 to basic-compute-nodepool-day90
42m         Normal    Scheduled                pod/kafka-0                             Successfully assigned data-platform-infra/kafka-0 to basic-compute-nodepool-dajvh
43m         Warning   FailedScheduling         pod/kafka-0                             0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
26m         Normal    Scheduled                pod/kafka-0                             Successfully assigned data-platform-infra/kafka-0 to basic-compute-nodepool-day90
2m19s       Normal    Scheduled                pod/schema-registry-bootstrap-vsh45     Successfully assigned data-platform-infra/schema-registry-bootstrap-vsh45 to basic-compute-nodepool-day90
35m         Normal    Scheduled                pod/kafka-bootstrap-9gf24               Successfully assigned data-platform-infra/kafka-bootstrap-9gf24 to basic-compute-nodepool-day90
21m         Normal    Scheduled                pod/kafka-0                             Successfully assigned data-platform-infra/kafka-0 to basic-compute-nodepool-dab3b
48m         Normal    Scheduled                pod/kafka-0                             Successfully assigned data-platform-infra/kafka-0 to basic-compute-nodepool-day90
48m         Normal    ScaleDown                pod/kafka-0                             deleting pod for node scale down
48m         Normal    Killing                  pod/schema-registry-6b4f7858d9-6fhsw    Stopping container schema-registry
48m         Normal    Killing                  pod/kafka-0                             Stopping container kafka
48m         Normal    SuccessfulCreate         replicaset/schema-registry-6b4f7858d9   Created pod: schema-registry-6b4f7858d9-h5skf
48m         Normal    ScaleDown                pod/schema-registry-6b4f7858d9-6fhsw    deleting pod for node scale down
48m         Normal    Pulled                   pod/schema-registry-6b4f7858d9-h5skf    Container image "confluentinc/cp-schema-registry:7.6.1" already present on machine and can be accessed by the pod
48m         Normal    Created                  pod/schema-registry-6b4f7858d9-h5skf    Container created
48m         Normal    Started                  pod/schema-registry-6b4f7858d9-h5skf    Container started
48m         Warning   FailedAttachVolume       pod/kafka-0                             Multi-Attach error for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6" Volume is already exclusively attached to one node and can't be attached to another
48m         Normal    SuccessfulAttachVolume   pod/kafka-0                             AttachVolume.Attach succeeded for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6"
45m         Normal    Pulled                   pod/kafka-0                             Container image "apache/kafka:4.2.0" already present on machine and can be accessed by the pod
45m         Normal    Created                  pod/kafka-0                             Container created
45m         Normal    Started                  pod/kafka-0                             Container started
45m         Warning   Unhealthy                pod/kafka-0                             Readiness probe failed: dial tcp 10.108.11.157:9092: connect: connection refused
44m         Normal    Killing                  pod/kafka-0                             Stopping container kafka
44m         Warning   Evicted                  pod/kafka-0                             The node was low on resource: memory. Threshold quantity: 100Mi, available: 64124Ki. Container kafka was using 954760Ki, request is 0, has larger consumption of memory.
42m         Normal    SuccessfulAttachVolume   pod/kafka-0                             AttachVolume.Attach succeeded for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6"
42m         Normal    Pulling                  pod/kafka-0                             Pulling image "apache/kafka:4.2.0"
42m         Normal    Created                  pod/kafka-0                             Container created
42m         Normal    Started                  pod/kafka-0                             Container started
42m         Normal    Pulled                   pod/kafka-0                             Successfully pulled image "apache/kafka:4.2.0" in 7.612s (7.613s including waiting). Image size: 236189633 bytes.
35m         Normal    SuccessfulCreate         job/kafka-bootstrap                     Created pod: kafka-bootstrap-9gf24
35m         Normal    Pulled                   pod/kafka-bootstrap-9gf24               Container image "alpine/git:2.47.2" already present on machine and can be accessed by the pod
35m         Normal    Started                  pod/kafka-bootstrap-9gf24               Container started
35m         Normal    Created                  pod/kafka-bootstrap-9gf24               Container created
34m         Normal    Pulled                   pod/kafka-bootstrap-9gf24               Container image "apache/kafka:4.2.0" already present on machine and can be accessed by the pod
34m         Normal    Created                  pod/kafka-bootstrap-9gf24               Container created
34m         Normal    Started                  pod/kafka-bootstrap-9gf24               Container started
27m         Normal    Killing                  pod/kafka-0                             Stopping container kafka
27m         Normal    ScaleDown                pod/kafka-0                             deleting pod for node scale down
27m         Warning   FailedAttachVolume       pod/kafka-0                             Multi-Attach error for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6" Volume is already exclusively attached to one node and can't be attached to another
26m         Normal    SuccessfulAttachVolume   pod/kafka-0                             AttachVolume.Attach succeeded for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6"
26m         Normal    Pulled                   pod/kafka-0                             Container image "apache/kafka:4.2.0" already present on machine and can be accessed by the pod
26m         Normal    Created                  pod/kafka-0                             Container created
26m         Normal    Started                  pod/kafka-0                             Container started
26m         Warning   Unhealthy                pod/kafka-0                             Readiness probe failed: dial tcp 10.108.11.203:9092: connect: connection refused
24m         Normal    Killing                  pod/kafka-0                             Stopping container kafka
24m         Warning   Evicted                  pod/kafka-0                             The node was low on resource: memory. Threshold quantity: 100Mi, available: 82868Ki. Container kafka was using 820468Ki, request is 0, has larger consumption of memory.
24m         Normal    SuccessfulDelete         statefulset/kafka                       Delete Pod kafka-0 in StatefulSet kafka successful
23m         Normal    Pulled                   pod/kafka-bootstrap-9gf24               Container image "apache/kafka:4.2.0" already present on machine and can be accessed by the pod
23m         Normal    Created                  pod/kafka-bootstrap-9gf24               Container created
23m         Normal    Started                  pod/kafka-bootstrap-9gf24               Container started
23m         Normal    TriggeredScaleUp         pod/kafka-0                             pod triggered scale-up: [{46ca01bc-0f62-4acd-94a7-2f41c2121c7c 1->2 (max: 3)}]
21m         Normal    TaintManagerEviction     pod/kafka-0                             Cancelling deletion of Pod data-platform-infra/kafka-0
21m         Normal    SuccessfulAttachVolume   pod/kafka-0                             AttachVolume.Attach succeeded for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6"
21m         Normal    Pulling                  pod/kafka-0                             Pulling image "apache/kafka:4.2.0"
21m         Normal    Created                  pod/kafka-0                             Container created
21m         Normal    Pulled                   pod/kafka-0                             Successfully pulled image "apache/kafka:4.2.0" in 9.736s (9.736s including waiting). Image size: 236189633 bytes.
21m         Normal    Started                  pod/kafka-0                             Container started
21m         Warning   Unhealthy                pod/postgres-0                          Readiness probe failed: command timed out: "pg_isready -U app_user -d app_db" timed out after 1s
14m         Normal    Completed                job/kafka-bootstrap                     Job completed
4m28s       Warning   BackOff                  pod/iceberg-cdc-bootstrap-8msm2         Back-off restarting failed container iceberg-cdc-bootstrap in pod iceberg-cdc-bootstrap-8msm2_data-platform-infra(261fc0b7-61c8-46c9-b540-320bf0a6064a)
4m4s        Normal    Pulled                   pod/iceberg-cdc-bootstrap-8msm2         Container image "trinodb/trino:448" already present on machine and can be accessed by the pod
4m4s        Normal    Created                  pod/iceberg-cdc-bootstrap-8msm2         Container created
4m4s        Normal    Started                  pod/iceberg-cdc-bootstrap-8msm2         Container started
4m3s        Normal    Killing                  pod/iceberg-cdc-bootstrap-8msm2         Stopping container iceberg-cdc-bootstrap
4m3s        Normal    SuccessfulDelete         job/iceberg-cdc-bootstrap               Deleted pod: iceberg-cdc-bootstrap-8msm2
3m31s       Warning   BackoffLimitExceeded     job/iceberg-cdc-bootstrap               Job has reached the specified backoff limit
2m20s       Normal    SuccessfulCreate         job/schema-registry-bootstrap           Created pod: schema-registry-bootstrap-vsh45
2m19s       Normal    Started                  pod/schema-registry-bootstrap-vsh45     Container started
2m19s       Normal    Created                  pod/schema-registry-bootstrap-vsh45     Container created
2m19s       Normal    Pulled                   pod/schema-registry-bootstrap-vsh45     Container image "alpine/git:2.47.2" already present on machine and can be accessed by the pod
2m16s       Normal    Started                  pod/schema-registry-bootstrap-vsh45     Container started
2m16s       Normal    Pulled                   pod/schema-registry-bootstrap-vsh45     Container image "curlimages/curl:8.7.1" already present on machine and can be accessed by the pod
2m16s       Normal    Created                  pod/schema-registry-bootstrap-vsh45     Container created
2m13s       Normal    Completed                job/schema-registry-bootstrap           Job completed
60s         Normal    ScaleDown                pod/kafka-0                             deleting pod for node scale down
60s         Normal    Killing                  pod/kafka-0                             Stopping container kafka
56s         Warning   FailedAttachVolume       pod/kafka-0                             Multi-Attach error for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6" Volume is already exclusively attached to one node and can't be attached to another
56s         Normal    SuccessfulCreate         statefulset/kafka                       Create Pod kafka-0 in StatefulSet kafka successful
39s         Normal    SuccessfulAttachVolume   pod/kafka-0                             AttachVolume.Attach succeeded for volume "pvc-51c8702b-43c3-43b7-8dd5-9714d0e0e3b6"
38s         Normal    Created                  pod/kafka-0                             Container created
38s         Normal    Pulled                   pod/kafka-0                             Container image "apache/kafka:4.2.0" already present on machine and can be accessed by the pod
38s         Normal    Started                  pod/kafka-0                             Container started
